Customer,Candies (#),Mangoes (Kg),Milk Packets (#),Payment (Rs),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Candy,Mango,Milk
C_1,20,6,2,386,,,,,,,,,,,,,,,1.0,55.0,18.0
C_2,16,3,6,289,,,,,,,,,,,,,,,,,
C_3,27,6,2,393,,,,,,,,,,,,,,,,,
C_4,19,1,2,110,,,,,,,,,,,,,,,,,
C_5,24,4,2,280,,,,,,,,,,,,,,,,,
C_6,22,1,5,167,,,,,,,,,,,,,,,,,
C_7,15,4,2,271,,,,,,,,,,,,,,,,,
C_8,18,4,2,274,,,,,,,,,,,,,,,,,
C_9,21,1,4,148,,,,,,,,,,,,,,,,,
C_10,16,2,4,198,,,,,,,,,,,,,,,,,
